intersections	protein
rbohF - WT (CTRL)	Q7XA86
rbohF - WT (CTRL)	O22287
rbohF - WT (CTRL)	Q5XV72
rbohF - WT (CTRL)	Q9LHN8
rbohF - WT (CTRL)	O22224
rbohF - WT (CTRL)	Q8GZ87
rbohF - WT (CTRL)	Q9SLE0
rbohF - WT (CTRL)	Q8RWY3
rbohF - WT (CTRL)	A0A1P8ARR3
rbohF - WT (CTRL)	A0A1P8ASX9
rbohF - WT (CTRL)	P17597
rbohF - WT (CTRL)	Q9FIJ0
rbohF - WT (CTRL)	Q93YQ5
rbohF - WT (CTRL)	Q7PC79
rbohF - WT (CTRL)	Q6DST1
rbohF - WT (CTRL)	O80585
rbohF - WT (CTRL)	Q9FGZ3
rbohF - WT (CTRL)	Q9XES1
rbohF - WT (CTRL)	Q9SU83
rbohF - WT (CTRL)	Q94AI6
rbohF - WT (CTRL)	Q9XIG1
rbohF - WT (CTRL)	A0A1P8AUA2
rbohF - WT (CTRL)	A0A1P8B454
rbohF - WT (CTRL)	Q9SI20
rbohF - WT (CTRL)	O80625
rbohF - WT (CTRL)	F4K4D6
rbohF - WT (CTRL)	Q9LTS6
rbohF - WT (CTRL)	Q9C586
rbohF - WT (CTRL)	Q9FRK5
rbohF - WT (CTRL)	Q0WTB4
rbohF - WT (CTRL)	F4IIU4
rbohF - WT (CTRL)	Q84VX7
rbohF - WT (CTRL)	Q9SW17
rbohF - WT (CTRL)	Q84JU6
rbohF - WT (CTRL)	F4HRW3
rbohF - WT (CTRL)	Q9ZSU4
rbohF - WT (CTRL)	O48574
rbohF - WT (CTRL)	Q8GXA4
rbohF - WT (CTRL)	O82264
rbohF - WT (CTRL)	Q9SR33
rbohF - WT (CTRL)	Q9ZUW8
rbohF - WT (CTRL)	Q9LUE5
rbohF - WT (CTRL)	F4IYR7
rbohF - WT (CTRL)	Q9FII8
rbohF - WT (CTRL)	Q67ZE1
rbohF - WT (CTRL)	Q9FNZ1
rbohF - WT (CTRL)	Q9SSK5
rbohF - WT (CTRL)	Q9LVA4
rbohF - WT (CTRL)	Q9XHZ8
rbohF - WT (CTRL)	Q8L8V4
rbohF - WT (CTRL)	Q9FHI7
rbohF - WT (CTRL)	Q9LSM3
rbohF - WT (CTRL)	B3H7F6
rbohF - WT (CTRL)	Q9M1J6
rbohF - WT (CTRL)	Q9FMP0
rbohF - WT (CTRL)	O49629
rbohF - WT (CTRL)	O82629
rbohF - WT (CTRL)	Q9M9V4
rbohF - WT (CTRL)	O81126
rbohF - WT (CTRL)	O23180
rbohF - WT (CTRL)	Q8RWH9
rbohF - WT (CTRL)	Q94BZ1
rbohF - WT (CTRL)	Q9SLM4
rbohF - WT (CTRL)	Q9M386
rbohF - WT (CTRL)	Q9FZ27
rbohF - WT (CTRL)	Q0WTF4
rbohF - WT (CTRL)	P54967
rbohF - WT (CTRL)	Q9LIB3
rbohF - WT (CTRL)	A8MQR2
rbohF - WT (CTRL)	Q9M0X9
rbohF - WT (CTRL)	Q94AM1
rbohF - WT (CTRL)	O04308
rbohF - WT (CTRL)	Q9LUR4
rbohF - WT (CTRL)	Q9SRM4
rbohF - WT (CTRL)	Q9FFW8
rbohF - WT (CTRL)	Q9XIB3
rbohF - WT (CTRL)	Q9LZ26
rbohF - WT (CTRL)	F4HY56
rbohF - WT (CTRL)	Q9SQG2
rbohF - WT (CTRL)	Q8RX67
rbohF - WT (CTRL)	Q9S9N4
rbohF - WT (CTRL)	O23238
rbohF - WT (CTRL)	F4KGW0
rbohF - WT (CTRL)	Q9LZF1
rbohF - WT (CTRL)	F4I576
rbohF - WT (CTRL)	Q38950
rbohF - WT (CTRL)	Q8W458
rbohF - WT (CTRL)	C0Z274
rbohF - WT (CTRL)	Q9SA72
rbohF - WT (CTRL)	Q9LE86
rbohF - WT (CTRL)	Q94F20
rbohF - WT (CTRL)	Q9LIG9
rbohF - WT (CTRL)	Q8RY23
rbohF - WT (CTRL)	P34893
rbohF - WT (CTRL)	A0A1P8AZ34
rbohF - WT (CTRL)	F4HW04
rbohF - WT (CTRL)	Q9ZST4
rbohF - WT (CTRL)	Q8GWD5
rbohF - WT (CTRL)	Q9SR36
rbohF - WT (CTRL)	Q9LX15
rbohF - WT (CTRL)	Q9LTI3
rbohF - WT (CTRL)	Q84WU8
rbohF - WT (CTRL)	Q9SIU0
rbohF - WT (CTRL)	Q9SAK9
rbohF - WT (CTRL)	F4I1Z0
rbohF - WT (CTRL)	Q9FKA4
rbohF - WT (CTRL)	Q9FVQ1
rbohF - WT (CTRL)	Q9SQH9
rbohF - WT (CTRL)	Q67YL8
rbohF - WT (CTRL)	Q96291
rbohF - WT (CTRL)	F4K790
rbohF - WT (CTRL)	Q9C9B9
rbohF - WT (CTRL)	O48724
rbohF - WT (CTRL)	Q9M146
rbohF - WT (CTRL)	Q9FYF8
rbohF - WT (CTRL)	Q8RWI2
rbohF - WT (CTRL)	A0A1P8B591
rbohF - WT (CTRL)	Q9FF15
rbohF - WT (CTRL)	P37106
rbohF - WT (CTRL)	Q9SZR1
rbohF - WT (CTRL)	A0A1P8AZV7
rbohF - WT (CTRL)	Q9ZVA2
rbohF - WT (CTRL)	Q9SZR6
rbohF - WT (CTRL)	Q680L3
rbohF - WT (CTRL)	Q9SVD1
rbohF - WT (CTRL)	Q9M9V7
rbohF - WT (CTRL)	Q9SR37
rbohF - WT (CTRL)	Q9SGP9
rbohF - WT (CTRL)	Q9SH30
rbohF - WT (CTRL)	Q9ZPX1
rbohF - WT (CTRL)	Q9C9U7
rbohF - WT (CTRL)	Q9FKN7
rbohF - WT (CTRL)	Q9LIL4
rbohF - WT (CTRL)	Q0WPR4
rbohF - WT (CTRL)	Q9LIC6
rbohF - WT (CTRL)	Q8GWR1
rbohF - WT (CTRL)	Q8GYC5
rbohF - WT (CTRL)	Q9FXT6
rbohF - WT (CTRL)	Q9SGN6
rbohF - WT (CTRL)	Q9ZU93
rbohF - WT (CTRL)	Q8W486
rbohF - WT (CTRL)	Q9MAC6
rbohF - WT (CTRL)	Q94K78
rbohF - WT (CTRL)	Q9LNK1
rbohF - WT (CTRL)	Q6DBG8
rbohF - WT (CTRL)	F4K725
rbohF - WT (CTRL)	Q9LR53
rbohF - WT (CTRL)	Q9C9X1
rbohF - WT (CTRL)	Q9SB38
rbohF - WT (CTRL)	F4IGA5
rbohF - WT (CTRL)	O82568
rbohF - WT (CTRL)	F4K0R0
rbohF - WT (CTRL)	Q9LJL8
