Protein.ID	intersections	location_membrane
A0A1I9LPC2	WT	Membrane
Q9ZPS9	WT	Membrane
F4JV35	WT	Membrane
A9X4U2	WT	Membrane
Q9SVC2	WT	Membrane
F4ITL6	WT	Membrane
Q7X6P3	WT	Membrane
C0LGJ9	WT	Membrane
Q4V3A2	WT	Membrane
Q9LU41	WT	Membrane
Q9M393	WT	Membrane
Q9SYQ8	WT	Membrane
A0A1I9LN01	WT	Membrane
F4IAN4	WT	Membrane
Q8VZ80	WT	Membrane
F4IE35	WT	Membrane
Q9FKS8	WT	Membrane
Q9FDZ5	WT	Membrane
Q9LPL6	WT	Membrane
Q6ICY4	WT	Membrane
C0LGQ9	WT	Membrane
A0A2H1ZE60	WT	Membrane
F4JLJ2	WT	Membrane
Q29Q26	WT	Membrane
P60112	WT	Membrane
F4IZ80	WT	Membrane
Q9SV21	WT	Membrane
O23006	WT	Membrane
Q9XF67	WT	Membrane
Q9SVZ8	WT	Membrane
Q7Y1W1	WT	Membrane
Q9C9Z9	WT	Membrane
Q9FX97	WT	Membrane
P48421	WT	Membrane
Q9SN38	WT	Membrane
Q9FNL3	WT	Membrane
Q9C8H0	WT	Membrane
Q0WPQ2	WT	Membrane
P14891	WT	Membrane
Q9T051	WT	Membrane
O80946	WT	Membrane
P60112	WT	Mitochondrion membrane
Q9T0F7	rbohC	Single-pass membrane protein
Q9FG65	rbohC	Single-pass membrane protein
O22807	rbohC	Single-pass membrane protein
Q0WTF4	rbohC	Single-pass membrane protein
Q9SJA1	rbohC	Single-pass membrane protein
Q8L7E9	rbohC	Single-pass membrane protein
Q9SUQ3	rbohF	Single-pass membrane protein
Q9SZ46	rbohF	Single-pass membrane protein
Q9CAD6	rbohF	Single-pass membrane protein
Q9LTL8	rbohF	Single-pass membrane protein
O49394	rbohF	Single-pass membrane protein
Q9LFG1	WT	Single-pass membrane protein
F4IB81	WT	Single-pass membrane protein
A0A1I9LN01	WT	Single-pass membrane protein
F4IZ80	WT	Single-pass membrane protein
P48421	WT	Single-pass membrane protein
Q41951	rbohC	Vacuole membrane
Q6ICY4	WT	Vacuole membrane
Q9FNL3	WT	Vacuole membrane
