Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
Q9M1J9	AT3G56990	25894744.9058737	23935331.5525565	20919644.9116062	7905742.35515544	10519148.3116771	6169441.57136013	-1.6	1.8309887374824E-05
A0A1P8APR1	AT1G48460	3803720.64745806	1178965.92441666	2449351.77541109	10618496.334379	9631513.52237604	16935551.6569239	2.12	2.22713911353183E-05
Q9CAV7	AT3G04930	19578152.4810185	33838416.4471474	3843856.57244034	50680640.4664842	30570396.4785474	59377392.1444056	1.37	2.37915619154052E-05
Q0WTB4	AT3G49725	13201352.7413675	11659569.5554266	11577039.0475805	2976614.49111168	2099744.24175466	6270114.38316846	-1.97	2.5978357223819E-05
Q8W0Z1		2828900.61791538	838203.731140966	782248.842633145	4640778.30482307	5066931.79971333	286423.312362816	2.47	3.04941659721731E-05
Q9SH31	AT1G63450	1458260.83263757	214799.551283758	835586.288563615	164327.64741872	0	27202.0836984004	-3.64	3.06852965783122E-05
Q9FX85	AT1G49570	3849196.3036953	5685115.5789482	4858032.61612582	31434911.7753067	18612651.6672204	11017934.7830424	1.94	3.4473719065332E-05
Q8LCE1	AT1G66200	201710326.063056	230159676.396983	411331431.687515	486400368.276995	426437380.92743	613753411.46303	1.08	5.06516779908081E-05
Q67XP8	AT3G14590	8662548.10939955	8323282.10292127	5490687.89904492	25146388.4856373	8488592.67607988	30907632.9838369	1.6	5.53732864998562E-05
A0A1P8B5K3	AT4G19030	14850201.0373108	14007328.1166262	14823453.5647445	7341194.9847772	4469502.17962956	3654686.29376846	-1.73	7.00989932267738E-05
Q8LC40		53906221.7069007	41934543.8582452	31420100.0743557	55546822.699498	18033847.8365292	15640734.9232881	-1.22	8.01349424194565E-05
F4JLY4	AT4G22690	57619242.4386043	62710025.413914	60646277.3350708	220815550.779554	141003487.277333	78254892.945286	1.22	8.30691322831867E-05
Q84JE8	AT3G14890	2265819.23674458	2645818.40809527	2073080.20129338	10006859.6473344	9763654.34879033	11209365.5659505	2.14	9.92312581274998E-05
P00883		101611.990451906	297589.311155331	3104536.11409924	9736767.8557674	2329320.96171586	1311973.86868919	2.97	0.000108237936758
O82628	AT3G01390	24303737.5969854	41262912.9803606	13080286.8950178	31238114.3816451	60789440.2219481	61576035.3880503	1.32	0.000110670520758
Q9CAH5	AT1G72590	572941.830139746	1061498.42150323	524858.788371171	4637274.56058442	3581792.24556645	2128887.16851192	2.64	0.000143647347964
F4K627	AT5G43580	451147.493641476	827721.939231893	904551.042932121	121429.968969331	77197.2609230603	42747.3670494838	-3.42	0.000156562432824
Q9C8G6		2444122.65620405	0	19407189.5160102	1490812.90317032	726107.03238496	3106732.20947962	-2.21	0.000156562432824
