Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
Q93VS6		2043575.64325668	0	1155451.25714999	304203.434519494	315236.381572409	1094092.52586561	-2.29	0.033583113368362
Q8GWR0	AT1G02410	377237.80988713	1078946.05999705	3169593.2789447	3960166.11155308	2431282.65245834	4748647.61129262	1.88	0.03396876987064
F4JN35	AT4G35580	786209.266047997	1309087.07811335	928654.94970151	2651131.45939318	3729162.46494082	3774397.42677132	2.01	0.034023078316228
P56797	ATCG00160	21896718.3521521	18815563.1397986	8624651.38651018	12853066.8579214	9823661.4270988	4100834.19144333	-0.94	0.034631613407347
Q8LAS8	AT2G41530	5634495.47819997	4861950.03894445	5053770.75825548	16599391.9943907	15920839.6483005	15496479.2594778	1.66	0.034789632001049
Q8W4D0	AT3G44600	15465474.4844873	16321832.112559	18154258.9298559	7631208.05382863	8247704.71251717	9356134.22954373	-0.98	0.035161267358176
Q9FKH6	AT5G35735	1937024.35215832	2542647.41249382	2383568.64504319	8347087.54836177	8899358.68234605	10716779.8658622	1.9	0.0358160383847
Q39211	AT2G15430	10040270.798663	8063575.84960869	24520817.8891739	25745863.4980298	22252001.2092153	28740760.5103902	1.36	0.036306242335797
Q9FNG3	AT5G06450	261935.162607832	226501.20303418	2202393.79334316	664642.724796537	1319528.12202775	1190780.52674386	2.18	0.036656388654422
A0A1P8B7U8	AT4G03340	750781.429012629	1167226.55983329	221985.544759205	189028.796360296	222268.861939018	185686.93616746	-1.99	0.036745502430709
F4KIZ2	AT5G47080	2587810.67938757	428208.74500756	667588.448373373	3640879.91415108	514732.553569302	2783554.54187337	2.06	0.03713988631061
Q9S7U7		2404293.75688298	1610735.40669317	5789270.75823025	8880693.91842103	1571156.35356888	16339470.1771162	1.89	0.038572080544602
Q9C5H9	AT5G17410	31252511.5015459	31699242.707127	40111112.2653241	63877461.8595031	72042797.1396292	93884508.7513188	1.18	0.03953348830805
A0A1P8BD18	AT5G61330	5337943.58840377	2899875.01157291	3962304.06093428	725967.939011864	5894028.27266195	1378872.27585636	-1.52	0.039741004243528
F4JD14	AT3G60920	1227475.19329684	713512.39342296	673457.869933581	467901.027283083	182423.19559555	161613.588016103	-1.97	0.039999923006086
O49617		874258.523857193	530365.657058315	516415.742138863	2555723.6951151	1977979.5350686	2929989.69176922	2.27	0.040297893998234
Q8LBU2	AT1G63460	10970504.3009036	10100171.711714	5678246.1026162	8217504.42163086	4388474.44635762	1862156.27329201	-1.2	0.041321406728809
Q84K90	AT4G26410	20208613.3717898	21840814.2012935	37362461.2461583	26514162.4644654	47480146.7903955	46257224.3124731	1.08	0.042527997080624
