Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
Q941R6	AT1G70840	773659.413033103	6069395.37125508	8407818.8386224	945886.09375	3345111.10909699	942138.072607591	-2.68	0.000497245145497
Q9LEX5	AT3G60980	5793437.82552687	6377430.27169802	18977877.4372563	20070317.78125	28527262.9850979	28973429.5720429	2.16	0.000561290817512
Q43729	AT5G17820	1065022036.08513	1007549913.23482	562348059.331806	360147309.671875	281811274.392424	325465314.076318	-1.63	0.000563408168641
Q9ZV49		18653583.3218984	13956061.6942463	45334141.0218646	98949198.53125	78450667.3050433	58887543.9595442	2.07	0.000564608057209
Q84VX7	AT1G51540	10527715.2816094	6505474.36559719	11949324.3245659	49497777	34300553.608465	40884858.712209	1.96	0.000612053117525
Q43731	AT4G37520	13777924.8047218	14268645.2660764	11455864.5410356	76865117.90625	52770275.6782455	25367080.066478	1.94	0.000641107676694
O80585	AT2G44160	56838628.0851767	54217482.9903185	39705402.8917661	159068404.171875	176902223.718826	194987039.35921	1.71	0.000658892416862
Q9SX79	AT1G47490	5822189.84507083	7047201.27121601	7501085.61262296	0	0	1175285.98656559	-2.58	0.000696725543294
Q9LTS6	AT5G56940	32364743.9161447	26904997.4090235	32142809.0611523	103544366.621094	129417652.109501	112671441.502514	1.81	0.000747883587999
A0A1I9LN01	AT3G55850	127058703.773906	93993107.3810803	74323899.2792083	31252721.515625	31234387.8424096	32885438.775112	-1.59	0.000756434706941
F4JNM2	AT4G29440	20032330.7128349	5402383.29625818	32492715.6753534	4963495.25	2338975.67087163	7031991.7125509	-2.01	0.000766533586584
F4IAN4	AT1G18180	0	207134.226422395	17878637.4463243	408342.671875	216622.089085924	160689.250946804	-3.15	0.000881886521355
Q9SU83	AT4G29680	8356135.36307556	8636787.42209347	12238951.3723632	34073834.90625	40470808.185676	32655178.4404428	1.98	0.000889655302399
Q8L8V4		1170783.32858521	3321423.55970568	1089405.61570982	8083950.4375	8656523.44724263	11030112.2524131	2.89	0.000924894331966
A0A1I9LN67	AT3G45660	16285.3289251756	11457.3470110071	0	107044.53125	852704.173281196	51944.9107541863	2.97	0.000996315122726
Q8VZ80	AT3G18830	55294842.4658498	76965274.0310349	39648103.6039776	18730821.203125	18448541.2143971	19084484.6818686	-1.56	0.001024810573606
Q9CAF9	AT1G67620	1179606.68694384	805014.63179433	1711837.91465073	999101.6875	74249344.1379377	0	2.87	0.001103494337231
Q9MAX3	AT1G78000	18901431.0955248	25596320.6986483	88517201.7039478	86314784.96875	131322800.79247	89799310.9278522	1.81	0.001187439663508
Q9FLD3	AT5G05210	61859023.987524	61185680.8413433	45047635.2627894	20633493.6816406	18334452.3542181	22698924.3395073	-1.57	0.001230872452574
O23238		4202620.50639394	6863623.78515949	5622926.1506565	26548670.03125	22813964.0646961	26803035.7423049	2.24	0.001446187138303
Q8VZF6	AT5G45560	53621689.0959782	69552655.1217043	73209566.7327314	204179438.609375	223267446.579293	232697529.533889	1.68	0.001486868714097
F4K0R0	AT5G05570	2533359.50564251	1267548.96237847	1400869.15262906	11513507.21875	7753438.6134302	9221778.26074643	2.72	0.001544766979455
C0SUW7	AT1G20910	2812664.04841489	2919197.51837424	1920981.0569457	924838.5078125	142892.224161943	0	-2.95	0.001609371814133
Q945L0	AT5G57815	203713.40370161	252230.976281433	1673643.02653626	3599292.1875	6029971.94640166	1486474.30069944	3.83	0.001629830411401
Q9LRJ9	AT3G22060	3395544.190026	5918526.89984046	11308128.5201411	9245604.203125	27015106.5714473	29658525.8374626	2.19	0.001630162972668
F4IM56	AT2G47860	3344115.47128917	2733912.84971058	2474467.45912472	13272394.84375	12634543.8716195	11670401.2256629	2.21	0.001753857611268
Q9LXZ4	AT3G56460	35248166.4438509	51760152.5901543	37208010.6160835	41833466.5625	129015759.51997	141438032.790666	1.79	0.001786733249719
Q8LAD0	AT5G60540	4694259.21828994	4504425.46618932	717932.129977165	598019.28125	895863.187316326	724974.865502268	-2.64	0.001867395586549
Q9XHZ8	AT1G21780	16252786.28997	13148946.4854349	76639244.5303065	63190303.890625	58858051.1884015	43186339.4004434	1.86	0.001900353352981
O64718	AT2G02580	7513924.23917366	2128294.32447787	9711715.30342334	37851389.609375	28896871.6013764	24197054.7922672	1.94	0.001916326713275
Q9SH66	AT1G64160	11760371.2662665	13302469.4979762	14944016.3571775	50039458.078125	47971017.4575973	18740229.4197566	1.85	0.002009739653192
Q9CAT7	AT1G73230	33885392.7464492	30884812.914424	46390359.5177243	13857364.4375	12225327.0264745	11684479.7340778	-1.47	0.002302020904411
Q84JU6	AT2G39810	5224843.30100782	4492019.51375434	11883044.2024403	25060325.5	23686448.3579832	19417438.2963026	2.18	0.002348240495625
O49213	AT1G73250	20537338.5477906	24811760.387036	23758151.2973034	5912895.375	14215922.2144882	7484717.24558137	-1.67	0.002483589044689
Q9ZU91	AT2G01630	7741493.94369165	8986814.77903376	8596214.3808039	1595764.0625	1531168.35657178	3328741.64758495	-2.43	0.002662352669127
F4IE35	AT1G26130	820512.470763849	212034.224709472	1299413.97368589	85475.5	97239.4627017432	128177.25928082	-3.08	0.002681942736319
Q9SS48	AT3G10370	55309370.2283884	177360009.691913	82606135.6971619	242560742.234375	260177108.051964	303233665.968848	1.66	0.00271102001948
Q8LGA5	AT5G27420	2114127.61531696	3613564.7545546	5290942.72633202	17634888.328125	14953106.7861759	8943244.26030914	2.05	0.002749701626563
F4J0D2	AT3G28690	20977206.8036088	21217076.8444464	19061457.7449537	77443024.40625	48454559.7461082	132201264.288222	1.88	0.002750111644408
F4HTI1	AT1G61230	0	612680.531739778	7172422.51012456	338075.15625	245630.658300816	294734.390394385	-2.83	0.002874629718598
O04308	AT3G16480	27845343.8567114	26504705.8051268	71420279.5418022	80275990.375	89869393.0059172	94201217.3264776	1.69	0.002922989868434
