intersections	protein
rbohF	Q7XJN0
rbohF	Q9XI29
rbohF	Q9LFG1
rbohF	Q9LV52
rbohF	A0A1P8AXP2
rbohF	Q9FVV7
rbohF	Q9M120
rbohF	Q9LMM1
rbohF	O22243
rbohF	A0A1I9LMD3
rbohF	P47735
rbohF	Q9LH50
rbohF	F4KDB8
rbohF	Q8VYE5
rbohF	Q9SII6
rbohF	Q9SFF9
rbohF	A0A1P8AUH4
rbohF	P54969
rbohF	F4IV99
rbohF	Q9SKT7
rbohF	Q9LD45
rbohF	Q9SJ20
rbohF	W8QP14
rbohF	Q9S9U1
rbohF	F4HZE0
rbohF	Q9FY88
rbohF	Q8RWI0
rbohF	Q8RXD5
rbohF	F4HR96
rbohF	A0A1P8B395
rbohF	Q8LGG0
rbohF	B9DH36
rbohF	A0A1P8AV11
rbohF	F4IBR2
rbohF	Q8H1Q6
rbohF	F4HZI6
rbohF	Q9FY75
rbohF	Q9SYZ0
rbohF	F4ISN0
rbohF	Q9LFS3
rbohF	Q9LK88
rbohF	O81027
rbohF	F4K0J3
rbohF	A0A1P8B3K8
rbohF	A0A1P8AMM7
rbohF	Q94K73
rbohF	O04309
rbohF	Q8LBL1
rbohF	P21276
rbohF	Q9CA57
rbohF	Q94AS5
rbohF	Q9SLK0
rbohF	Q6R8G7
rbohF	Q39034
rbohF	Q1ECK0
rbohF	Q8S8P5
rbohF	A8MRY1
rbohF	O64635
rbohF	O80866
rbohF	A0A1P8B9D5
rbohF	Q9T019
rbohF	Q9ZQH0
rbohF	Q9SAC9
rbohF	Q8LAH7
rbohF	A0A1P8AYN1
rbohF	Q8GY58
rbohF	Q9LUC6
rbohF	Q8S8Q6
rbohF	Q8GWB7
rbohF	Q8GUK1
rbohF	A0A1P8ARJ0
rbohF	Q9LE15
rbohF	Q39141
rbohF	A0A1P8AMC6
rbohF	A0A1P8B2C7
rbohF	Q2V3L3
rbohF	O04086
rbohF	P56764
rbohF	Q9FUS6
rbohF	A0A1P8B5L5
rbohF	Q8L850
rbohF	Q9SU64
rbohF	Q9SJ52
rbohF	Q8RY60
rbohF	O80358
rbohF	Q9T0K0
rbohF	Q5XEZ1
rbohF	A0A1P8BAN2
rbohF	Q9FPF0
rbohF	F4JSQ2
rbohF	Q96287
rbohF	Q8L6X7
rbohF	Q9LZN2
rbohF	F4IBK9
rbohF	F4J3Q1
rbohF	Q8GUI9
rbohF	P50546
rbohF	F4HWL3
rbohF	Q8W1Y0
rbohF	Q93V74
rbohF	Q8GWR0
rbohF	F4JN35
rbohF	Q8LAS8
rbohF	Q39211
rbohF	F4KIZ2
rbohF	Q9S7U7
rbohF	Q9C5H9
rbohF	O49617
rbohF	Q84K90
rbohF	Q8W110
rbohF	Q9LK64
rbohF	Q96520
rbohF	Q0WQH3
rbohF	Q0WNY5
rbohF	Q9LFR9
rbohF	Q38893
rbohF	C0SUW7
rbohF	O23482
rbohF	Q9SAF0
rbohF	Q8RWM9
rbohF	Q9LX13
rbohF	Q84MC9
rbohF	Q9FLW0
WT	P25857
WT	F4K5W3
WT	P92979
WT	F4JHN2
WT	A8MRW6
WT	Q9CAD8
WT	Q9SJP6
WT	F4J750
WT	Q9FHN6
WT	Q8L7U5
WT	Q8L748
WT	Q9M2X5
WT	Q8LAZ7
WT	Q9C9Q5
WT	F4ISB3
WT	Q9M1C9
WT	C0Z2A9
WT	Q7Y232
WT	Q9LDH3
WT	A0A1P8B4R8
WT	Q9SB75
WT	B6ETT4
WT	Q9FNA3
WT	Q8VXY1
WT	Q9LZ83
WT	Q9LTL8
WT	Q9LZG4
WT	Q8W4J9
WT	F4JY73
WT	Q8GXA4
WT	Q9LUZ6
WT	F4ICG2
WT	F4IUN0
WT	A0A1P8AY74
WT	Q9LIM8
WT	Q8L607
WT	F4HX45
WT	F4JTF6
WT	Q9ZQR4
WT	Q6NPS1
WT	Q058G5
WT	Q9SUT5
WT	A0A1P8ATC6
WT	Q39162
WT	Q9LR65
WT	Q9FIC6
WT	Q9M3C8
WT	Q8L831
WT	Q84VZ5
WT	Q9C5L6
WT	Q38903
WT	Q93YQ5
WT	Q8VWF5
WT	A0A1P8B137
WT	Q941R7
WT	O82251
WT	Q7XA86
WT	Q9LHN8
WT	Q93Z53
WT	A0A2H1ZEG1
WT	A0A1P8AVK4
WT	O22823
WT	Q4PSF4
WT	Q9FFG5
WT	Q8RWY3
WT	Q8VY01
WT	Q9LUE5
WT	Q5XV72
WT	Q94AL6
WT	Q9SCQ4
WT	Q9FHA3
WT	Q9FKA4
WT	Q9SIU2
WT	F4I7I0
WT	Q0WTB4
WT	Q8VY27
WT	O80625
WT	A0A1P8AR36
WT	Q93V62
WT	F4JU09
WT	Q94AI6
WT	Q6DST1
WT	Q9FKM2
WT	Q9XIG1
WT	Q9ZUW8
WT	O22287
WT	B3H7F6
WT	A0A1P8ASX9
WT	F4HY56
WT	O23156
WT	Q9LPU6
WT	Q9C8G6
WT	Q8GZ87
WT	Q9SD05
