intersections	protein
rbohC - WT (CTRL)	Q9XES1
rbohC - WT (CTRL)	Q8GZ87
rbohC - WT (CTRL)	C0Z274
rbohC - WT (CTRL)	O23238
rbohC - WT (CTRL)	Q9XIG1
rbohC - WT (CTRL)	F4K790
rbohC - WT (CTRL)	Q84VX7
rbohC - WT (CTRL)	Q8GXA4
rbohC - WT (CTRL)	O22939
rbohC - WT (CTRL)	O82264
rbohC - WT (CTRL)	Q9LHN8
rbohC - WT (CTRL)	Q9M9V4
rbohC - WT (CTRL)	Q8L8V4
rbohC - WT (CTRL)	Q9FZ27
rbohC - WT (CTRL)	Q9SLE0
rbohC - WT (CTRL)	O04308
rbohC - WT (CTRL)	Q9FFW8
rbohC - WT (CTRL)	O22224
rbohC - WT (CTRL)	O49629
rbohC - WT (CTRL)	Q9LIG9
rbohC - WT (CTRL)	O23463
rbohC - WT (CTRL)	Q9LVA4
rbohC - WT (CTRL)	A0A1P8AVK4
rbohC - WT (CTRL)	O23180
rbohC - WT (CTRL)	Q0WPR4
rbohC - WT (CTRL)	F4IYR7
rbohC - WT (CTRL)	A0A1P8ASX9
rbohC - WT (CTRL)	Q9LZF1
rbohC - WT (CTRL)	Q9SI20
rbohC - WT (CTRL)	F4HY56
rbohC - WT (CTRL)	Q9SW17
rbohC - WT (CTRL)	Q9FY65
rbohC - WT (CTRL)	F4IVN6
rbohC - WT (CTRL)	F4HW04
rbohC - WT (CTRL)	Q9FGZ3
rbohC - WT (CTRL)	Q84WU8
rbohC - WT (CTRL)	Q9LIB3
rbohC - WT (CTRL)	Q9FRS7
rbohC - WT (CTRL)	Q0WTB4
rbohC - WT (CTRL)	Q9LE86
rbohC - WT (CTRL)	O22281
rbohC - WT (CTRL)	Q9SQG2
rbohC - WT (CTRL)	F4IM56
rbohC - WT (CTRL)	F4KGW0
rbohC - WT (CTRL)	Q9XHZ8
rbohC - WT (CTRL)	Q9LZ26
rbohC - WT (CTRL)	F4K0R0
rbohC - WT (CTRL)	Q9SR33
rbohC - WT (CTRL)	Q9C586
rbohC - WT (CTRL)	Q9M386
rbohC - WT (CTRL)	Q9SSK5
rbohC - WT (CTRL)	Q9LFS3
rbohC - WT (CTRL)	Q9FHI7
rbohC - WT (CTRL)	Q9SHH0
rbohC - WT (CTRL)	Q94AL6
rbohC - WT (CTRL)	Q8RWI0
rbohC - WT (CTRL)	O82122
rbohC - WT (CTRL)	Q9C9B9
rbohC - WT (CTRL)	Q9LTG3
rbohC - WT (CTRL)	Q9ZQG9
rbohC - WT (CTRL)	P0C5E2
rbohC - WT (CTRL)	P54967
rbohC - WT (CTRL)	Q0WV47
rbohC - WT (CTRL)	A0A1P8AT95
rbohC - WT (CTRL)	F4K5K3
rbohC - WT (CTRL)	Q8RY12
rbohC - WT (CTRL)	Q9SIU0
rbohC - WT (CTRL)	Q96291
rbohC - WT (CTRL)	A0A2P2CLF3
rbohC - WT (CTRL)	Q6DST1
rbohC - WT (CTRL)	Q1EBV6
rbohC - WT (CTRL)	F4KG14
rbohC - WT (CTRL)	A0A1P8B591
rbohC - WT (CTRL)	Q9SZR6
rbohC - WT (CTRL)	Q9FF15
rbohC - WT (CTRL)	F4I576
rbohC - WT (CTRL)	O82568
rbohC - WT (CTRL)	Q9FIJ0
rbohC - WT (CTRL)	Q949P3
rbohC - WT (CTRL)	Q9SRM4
rbohC - WT (CTRL)	Q9ZUW8
rbohC - WT (CTRL)	A0A1P8AZV7
rbohC - WT (CTRL)	Q05085
rbohC - WT (CTRL)	Q39117
rbohC - WT (CTRL)	Q9LX15
rbohC - WT (CTRL)	Q9ZST4
rbohC - WT (CTRL)	Q9XIB3
rbohC - WT (CTRL)	Q9SRL5
rbohC - WT (CTRL)	B3H7F6
rbohC - WT (CTRL)	Q9LFE2
rbohC - WT (CTRL)	C0LGD6
rbohC - WT (CTRL)	Q8RX67
rbohC - WT (CTRL)	F4K498
rbohC - WT (CTRL)	O80763
rbohC - WT (CTRL)	Q8GYC5
rbohC - WT (CTRL)	Q9LSM3
rbohC - WT (CTRL)	Q9SVD1
rbohC - WT (CTRL)	Q9FKN7
rbohC - WT (CTRL)	Q8RY23
rbohC - WT (CTRL)	Q9LTI3
rbohC - WT (CTRL)	Q9SUY2
rbohC - WT (CTRL)	Q9S9M2
rbohC - WT (CTRL)	F4I233
rbohC - WT (CTRL)	Q8RY80
rbohC - WT (CTRL)	O48574
