intersections	protein
rbohF - WT (CTRL)	Q7Y030
rbohF - WT (CTRL)	Q9CAT7
rbohF - WT (CTRL)	F4INU4
rbohF - WT (CTRL)	Q9SL02
rbohF - WT (CTRL)	O22151
rbohF - WT (CTRL)	O22854
rbohF - WT (CTRL)	A0A1P8AX84
rbohF - WT (CTRL)	O22141
rbohF - WT (CTRL)	Q9M314
rbohF - WT (CTRL)	O22911
rbohF - WT (CTRL)	Q9STT2
rbohF - WT (CTRL)	F4JNM2
rbohF - WT (CTRL)	Q39034
rbohF - WT (CTRL)	Q9C9Z9
rbohF - WT (CTRL)	Q9FJB4
rbohF - WT (CTRL)	P93655
rbohF - WT (CTRL)	Q8GWW8
rbohF - WT (CTRL)	Q9LVD6
rbohF - WT (CTRL)	Q29Q26
rbohF - WT (CTRL)	P0CB23
rbohF - WT (CTRL)	Q9SKE2
rbohF - WT (CTRL)	Q9ZW09
rbohF - WT (CTRL)	Q2V3L3
rbohF - WT (CTRL)	Q5XEN3
rbohF - WT (CTRL)	F4HSX1
rbohF - WT (CTRL)	Q9SZE4
rbohF - WT (CTRL)	Q9FYG2
rbohF - WT (CTRL)	Q947D2
rbohF - WT (CTRL)	Q9SY09
rbohF - WT (CTRL)	P49040
rbohF - WT (CTRL)	Q43729
rbohF - WT (CTRL)	P49572
rbohF - WT (CTRL)	Q9FE78
rbohF - WT (CTRL)	Q9SVZ8
rbohF - WT (CTRL)	Q8LDQ4
rbohF - WT (CTRL)	Q9SAH5
rbohF - WT (CTRL)	P58050
rbohF - WT (CTRL)	Q9LN61
rbohF - WT (CTRL)	Q9SW44
rbohF - WT (CTRL)	Q8GZ51
rbohF - WT (CTRL)	P30366
rbohF - WT (CTRL)	F4JTS8
rbohF - WT (CTRL)	Q9FWW5
rbohF - WT (CTRL)	Q9LEY9
rbohF - WT (CTRL)	F4IQS9
rbohF - WT (CTRL)	Q9SZ70
rbohF - WT (CTRL)	A0A1I9LQT2
rbohF - WT (CTRL)	Q9FX97
rbohF - WT (CTRL)	P62126
rbohF - WT (CTRL)	A0A1R7T394
rbohF - WT (CTRL)	Q9LFL3
rbohF - WT (CTRL)	Q9SB31
rbohF - WT (CTRL)	Q9ZQH0
rbohF - WT (CTRL)	Q9LW57
rbohF - WT (CTRL)	Q9C7H2
rbohF - WT (CTRL)	Q84M24
rbohF - WT (CTRL)	Q8LGG0
rbohF - WT (CTRL)	Q9SYA9
rbohF - WT (CTRL)	Q94CC6
rbohF - WT (CTRL)	A0A1P8BFZ5
rbohF - WT (CTRL)	Q9LF41
rbohF - WT (CTRL)	Q944H0
rbohF - WT (CTRL)	A0A1P8B458
rbohF - WT (CTRL)	Q9SU63
rbohF - WT (CTRL)	P0C1T5
rbohF - WT (CTRL)	Q9LPV8
rbohF - WT (CTRL)	Q9LM13
rbohF - WT (CTRL)	O48723
rbohF - WT (CTRL)	Q9FIP9
rbohF - WT (CTRL)	F4IIG3
rbohF - WT (CTRL)	Q93ZR1
rbohF - WT (CTRL)	Q8VYI8
rbohF - WT (CTRL)	Q9FLD3
rbohF - WT (CTRL)	Q9FKJ4
rbohF - WT (CTRL)	Q6NQ66
rbohF - WT (CTRL)	Q8GYF7
rbohF - WT (CTRL)	Q94AW9
rbohF - WT (CTRL)	Q9SV21
rbohF - WT (CTRL)	Q9C7V7
rbohF - WT (CTRL)	F4ITF9
rbohF - WT (CTRL)	P50546
rbohF - WT (CTRL)	Q9ZVU5
